class_index,class_name,precision_nonaug,recall_nonaug,f1_nonaug,auc_nonaug,precision_aug,recall_aug,f1_aug,auc_aug,delta_f1,delta_auc
0,Healthy_Leaf,0.8875739644970414,0.9868421052631579,0.9345794392523364,0.9997,0.9756888168557536,0.9901315789473685,0.9828571428571429,0.9999,0.04827770360480643,0.00019999999999997797
1,Healthy_Nut,1.0,0.9576271186440678,0.9783549783549783,1.0,0.9989304812834224,0.989406779661017,0.9941458222458754,1.0,0.015790843890897133,0.0
2,Healthy_Trunk,0.9726027397260274,0.9888579387186629,0.9806629834254144,0.9998,0.9794238683127572,0.9944289693593314,0.986869384934347,0.9999,0.006206401508932591,9.999999999998899e-05
3,Mahali_Koleroga,0.9682779456193353,1.0,0.9838833461243285,1.0,0.9911059551430781,0.999609984399376,0.9953398058252427,1.0,0.011456459700914245,0.0
4,Stem_bleeding,0.925,0.9736842105263158,0.9487179487179487,0.9998,0.9490445859872612,0.9802631578947368,0.9644012944983819,0.9997,0.015683345780433178,-9.999999999998899e-05
5,bud borer,0.8292682926829268,0.9444444444444444,0.8831168831168831,0.9996,0.9850746268656716,0.9166666666666666,0.9496402877697842,0.9968,0.06652340465290107,-0.0028000000000000247
6,healthy_foot,1.0,1.0,1.0,1.0,0.9803921568627451,0.9615384615384616,0.970873786407767,0.9997,-0.029126213592232997,-0.00029999999999996696
7,stem cracking,0.8385093167701864,1.0,0.9121621621621622,0.9999,0.9702602230483272,0.9666666666666667,0.9684601113172542,0.9997,0.05629794915509201,-0.00019999999999997797
8,yellow leaf disease,1.0,0.845945945945946,0.9165446559297218,0.9997,0.9931176875430144,0.975,0.9839754517558813,0.9999,0.06743079582615952,0.00019999999999997797
