setup,overall_accuracy,balanced_accuracy,macro_f1,weighted_f1,cohen_kappa,matthews_corrcoef,macro_auc_ovr,weighted_auc_ovr
NonAugmented,0.9611913357400722,0.9663779737269549,0.9486691552315304,0.9610441177322662,0.9520628282418199,0.9526773810688003,0.9998431082569927,0.9998838291629668
Augmented,0.9879287003610109,0.9748569183481806,0.9773958986235196,0.9879055638498229,0.9850529446320629,0.9850703130272929,0.9994981179806065,0.9998594538750718
