Class,AUC
Healthy_Leaf,0.9998
Healthy_Nut,0.9999
Healthy_Trunk,0.9997
Mahali_Koleroga,1.0000
Stem_bleeding,0.9999
bud borer,0.9998
healthy_foot,1.0000
stem cracking,0.9996
yellow leaf disease,0.9995
