class_index,class_name,precision,recall,f1_score,support,auc_ovr,average_precision
0,Healthy_Leaf,0.8875739644970414,0.9868421052631579,0.9345794392523364,152.0,0.9996844400244798,0.9962776200371227
1,Healthy_Nut,1.0,0.9576271186440678,0.9783549783549783,472.0,0.9999987851811538,0.999995520837066
2,Healthy_Trunk,0.9726027397260274,0.9888579387186629,0.9806629834254144,359.0,0.9998424991337452,0.9991884130278073
3,Mahali_Koleroga,0.9682779456193353,1.0,0.9838833461243285,641.0,0.9999891043260778,0.9999732922801893
4,Stem_bleeding,0.925,0.9736842105263158,0.9487179487179487,38.0,0.9998066792325166,0.9912312884449107
5,bud borer,0.8292682926829268,0.9444444444444444,0.8831168831168831,36.0,0.9996432212028542,0.9805370680703678
6,healthy_foot,1.0,1.0,1.0,13.0,1.0,1.0
7,stem cracking,0.8385093167701864,1.0,0.9121621621621622,135.0,0.9999394877818714,0.9991117168605733
8,yellow leaf disease,1.0,0.845945945945946,0.9165446559297218,370.0,0.9996837574302363,0.9984363358348982
