class_index,class_name,precision,recall,f1_score,support,auc_ovr,average_precision
0,Healthy_Leaf,0.9805194805194806,0.993421052631579,0.9869281045751634,152.0,0.9998948133414932,0.9985177949122799
1,Healthy_Nut,1.0,1.0,1.0,472.0,1.0,1.0
2,Healthy_Trunk,0.9833795013850416,0.9888579387186629,0.9861111111111112,359.0,0.9995274974012357,0.9981891080681283
3,Mahali_Koleroga,1.0,0.9984399375975039,0.9992193598750976,641.0,0.9999960379367555,0.9999903251944031
4,Stem_bleeding,0.9743589743589743,1.0,0.987012987012987,38.0,1.0,1.0
5,bud borer,0.9090909090909091,0.8333333333333334,0.8695652173913043,36.0,0.9993119266055046,0.9622357628797881
6,healthy_foot,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0,0.9998952477390971,0.9855769230769231
7,stem cracking,0.9629629629629629,0.9629629629629629,0.9629629629629629,135.0,0.9995586167618844,0.9928095424184773
8,yellow leaf disease,0.989159891598916,0.9864864864864865,0.9878213802435724,370.0,0.9998096688237533,0.9990576984348243
