Class,AUC
Healthy_Leaf,1.0000
Healthy_Nut,1.0000
Healthy_Trunk,1.0000
Mahali_Koleroga,1.0000
Stem_bleeding,1.0000
bud borer,1.0000
healthy_foot,1.0000
stem cracking,1.0000
yellow leaf disease,1.0000
