class_index,class_name,precision,recall,f1_score,support,auc_ovr,average_precision
0,Healthy_Leaf,0.9756888168557536,0.9901315789473685,0.9828571428571429,608.0,0.9999474066707467,0.9993131702853267
1,Healthy_Nut,0.9989304812834224,0.989406779661017,0.9941458222458754,1888.0,0.9999567220786035,0.9998516750531494
2,Healthy_Trunk,0.9794238683127572,0.9944289693593314,0.986869384934347,1436.0,0.9999122495173725,0.9995501706619753
3,Mahali_Koleroga,0.9911059551430781,0.999609984399376,0.9953398058252427,2564.0,0.9999653319466112,0.9999119398008516
4,Stem_bleeding,0.9490445859872612,0.9802631578947368,0.9644012944983819,152.0,0.9996752815233676,0.9929678246433358
5,bud borer,0.9850746268656716,0.9166666666666666,0.9496402877697842,144.0,0.996844737512742,0.9858476026747792
6,healthy_foot,0.9803921568627451,0.9615384615384616,0.970873786407767,52.0,0.9996551904745278,0.9788640032284099
7,stem cracking,0.9702602230483272,0.9666666666666667,0.9684601113172542,540.0,0.999674746827558,0.9951847679525996
8,yellow leaf disease,0.9931176875430144,0.975,0.9839754517558813,1480.0,0.9998513952739304,0.9992713072216095
