Class,AUC
Healthy_Leaf,0.9973
Healthy_Nut,0.9998
Healthy_Trunk,0.9991
Mahali_Koleroga,0.9995
Stem_bleeding,0.9960
bud borer,0.9944
healthy_foot,0.9996
stem cracking,0.9980
yellow leaf disease,0.9974
